shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
162805,29.44167,-98.51337,152,6.1194
162805,29.441669,-98.513369,153,6.1194
162805,29.441929,-98.513689,154,6.1619
162805,29.44193,-98.51369,155,6.1619
162805,29.44209,-98.51385,156,6.1853
162805,29.44218,-98.51393,157,6.1981
162805,29.44243,-98.514139,158,6.2317
162805,29.442759,-98.514359,159,6.2748
162805,29.44276,-98.51436,160,6.2748
162805,29.443,-98.51448,161,6.3039
162805,29.44326,-98.51459,162,6.334
162805,29.44358,-98.51471,163,6.372
162805,29.44385,-98.51478,164,6.4025
162805,29.44413,-98.51484,165,6.4341
162805,29.44438,-98.51486,166,6.4612
162805,29.44465,-98.51485,167,6.4912
162805,29.44496,-98.51485,168,6.5262
162805,29.444959,-98.514849,169,6.5262
162805,29.44603,-98.514759,170,6.6446
162805,29.44603,-98.51476,171,6.6446
162805,29.44654,-98.51475,172,6.7016
162805,29.44679,-98.51476,173,6.7296
162805,29.44737,-98.51486,174,6.7944
162805,29.44761,-98.5149,175,6.8207
162805,29.44774,-98.51492,176,6.8358
162805,29.44865,-98.51515,177,6.9392
162805,29.44919,-98.51527,178,7.0004
162805,29.44957,-98.51534,179,7.0429
162805,29.44998,-98.5154,180,7.0882
162805,29.45084,-98.51547,181,7.1835
162805,29.450839,-98.515469,182,7.1835
162805,29.451609,-98.515469,183,7.2695
162805,29.45161,-98.51547,184,7.2695
162805,29.45177,-98.51541,185,7.2884
162805,29.45201,-98.51532,186,7.316
162805,29.4523,-98.51529,187,7.348
162805,29.45296,-98.51526,188,7.4211
162805,29.45339,-98.51522,189,7.4692
162805,29.45347,-98.51529,190,7.4801
162805,29.45355,-98.51537,191,7.4921
162805,29.45365,-98.51547,192,7.507
162805,29.45375,-98.51557,193,7.5218
162805,29.45395,-98.51575,194,7.5496
162805,29.45473,-98.51655,195,7.6665
162805,29.45505,-98.51681,196,7.7095
162805,29.45581,-98.51752,197,7.8182
162805,29.45611,-98.51783,198,7.8635
162805,29.45617,-98.51789,199,7.872
162805,29.45662,-98.51832,200,7.9367
162805,29.45716,-98.51883,201,8.0148
162805,29.45757,-98.51924,202,8.075
162805,29.45821,-98.51985,203,8.1673
162805,29.45833,-98.51997,204,8.1851
162805,29.45892,-98.52054,205,8.2709
162805,29.45913,-98.52074,206,8.3007
162805,29.45932,-98.52092,207,8.3278
162805,29.46008,-98.52167,208,8.4398
162805,29.46106,-98.5226,209,8.5804
162805,29.46128,-98.52282,210,8.6137
162805,29.46246,-98.52395,211,8.7841
162805,29.46346,-98.52495,212,8.9315
162805,29.46369,-98.52516,213,8.9642
162805,29.46411,-98.52559,214,9.0265
162805,29.46456,-98.52606,215,9.0938
162805,29.46473,-98.52623,216,9.1186
162805,29.46537,-98.52689,217,9.2142
162805,29.46589,-98.52747,218,9.2948
162805,29.46645,-98.52803,219,9.3777
162805,29.46704,-98.52863,220,9.4648
162805,29.46734,-98.52892,221,9.5088
162805,29.46765,-98.52924,222,9.5549
162805,29.46825,-98.52985,223,9.6441
162805,29.46889,-98.53048,224,9.7377
162805,29.4695,-98.53108,225,9.8264
162805,29.47012,-98.53169,226,9.9178
162805,29.4707,-98.53228,227,10.0035
162805,29.47078,-98.53236,228,10.0155
162805,29.47133,-98.53291,229,10.0963
162805,29.47194,-98.5335,230,10.1851
162805,29.47201,-98.53357,231,10.1957
162805,29.47257,-98.53412,232,10.2773
162805,29.47318,-98.53474,233,10.3672
162805,29.4734,-98.53495,234,10.3999
162805,29.47601,-98.53754,235,10.7826
162805,29.47804,-98.53952,236,11.0784
162805,29.47938,-98.54085,237,11.2749
162805,29.47988,-98.54137,238,11.3499
162805,29.48146,-98.54296,239,11.5837
162805,29.48443,-98.54593,240,12.021
162805,29.48515,-98.54664,241,12.1266
162805,29.48588,-98.54737,242,12.2337
162805,29.4866,-98.54807,243,12.3387
162805,29.48871,-98.55007,244,12.6426
162805,29.48921,-98.55057,245,12.7156
162805,29.48953,-98.55087,246,12.7619
162805,29.48968,-98.55102,247,12.7838
162805,29.49037,-98.55169,248,12.8846
162805,29.49056,-98.55188,249,12.9122
162805,29.49127,-98.55253,250,13.0133
162805,29.49206,-98.55326,251,13.1256
162805,29.49248,-98.5536,252,13.183
162805,29.49281,-98.55383,253,13.2252
162805,29.49321,-98.55413,254,13.2787
162805,29.49367,-98.55441,255,13.3364
162805,29.4939,-98.55444,256,13.3616
162805,29.49402,-98.5545,257,13.3768
162805,29.49409,-98.55453,258,13.3844
162805,29.49422,-98.5546,259,13.401
162805,29.49431,-98.55465,260,13.4122
162805,29.4944,-98.5547,261,13.4229
162805,29.49453,-98.55478,262,13.4391
162805,29.49506,-98.55505,263,13.5035
162805,29.49527,-98.55516,264,13.529
162805,29.4956,-98.55532,265,13.569
162805,29.49578,-98.5554,266,13.5905
162805,29.49616,-98.55562,267,13.6375
162805,29.49636,-98.55569,268,13.6605
162805,29.49729,-98.55609,269,13.7707
162805,29.49793,-98.55642,270,13.8486
162805,29.49824,-98.55659,271,13.8861
162805,29.49853,-98.55677,272,13.9237
162805,29.49924,-98.55727,273,14.0153
162805,29.49981,-98.55774,274,14.0941
162805,29.50037,-98.55824,275,14.1725
162805,29.50087,-98.55866,276,14.2411
162805,29.5011,-98.55887,277,14.2739
162805,29.50305,-98.5605,278,14.5416
162805,29.50436,-98.56164,279,14.7236
162805,29.50457,-98.56181,280,14.753
162805,29.50587,-98.56291,281,14.9318
162805,29.50641,-98.56334,282,15.005
162805,29.50653,-98.56344,283,15.0214
162805,29.50654,-98.56345,284,15.0228
162805,29.50759,-98.56432,285,15.1661
162805,29.50889,-98.56545,286,15.3475
162805,29.50948,-98.56598,287,15.4307
162805,29.50978,-98.56623,288,15.4715
162805,29.51088,-98.56719,289,15.6249
162805,29.51173,-98.568,290,15.7478
162805,29.51274,-98.56898,291,15.8947
162805,29.51264,-98.56913,292,15.9133
162805,29.51053,-98.5714,293,16.2345
162805,29.51045,-98.57155,294,16.252
162805,29.51038,-98.57164,295,16.2633
162805,29.51025,-98.57177,296,16.2824
162805,29.51014,-98.5719,297,16.3001
162805,29.51003,-98.57201,298,16.3157
162805,29.50991,-98.57212,299,16.3335
162805,29.50983,-98.57222,300,16.3463
162805,29.5098,-98.57226,301,16.352
162805,29.50969,-98.57241,302,16.3704
162805,29.50962,-98.57252,303,16.384
162805,29.50954,-98.57266,304,16.3998
162805,29.50945,-98.57284,305,16.4204
162805,29.5094,-98.57295,306,16.4316
162805,29.50936,-98.57304,307,16.4419
162805,29.50932,-98.57314,308,16.4527
162805,29.50927,-98.5733,309,16.4685
162805,29.5092,-98.57359,310,16.4985
162805,29.50915,-98.57391,311,16.5301
162805,29.50914,-98.57401,312,16.5392
162805,29.50911,-98.57434,313,16.5713
162805,29.5091,-98.57456,314,16.5933
162805,29.5091,-98.57469,315,16.6053
162805,29.50912,-98.57491,316,16.6274
162805,29.50916,-98.57521,317,16.6569
162805,29.50923,-98.57556,318,16.6916
162805,29.50941,-98.5763,319,16.7653
162805,29.5096,-98.577,320,16.8365
162805,29.50964,-98.57717,321,16.8542
162805,29.5098,-98.57781,322,16.9188
162805,29.50999,-98.57859,323,16.9967
162805,29.51011,-98.57906,324,17.0445
162805,29.51029,-98.57974,325,17.1134
162805,29.51039,-98.58018,326,17.1569
162805,29.51042,-98.58029,327,17.1686
162805,29.51048,-98.58054,328,17.1933
162805,29.51054,-98.58086,329,17.2251
162805,29.51063,-98.58126,330,17.2653
162805,29.51079,-98.58191,331,17.3309
162805,29.51092,-98.58246,332,17.3857
162805,29.51106,-98.583,333,17.441
162805,29.5111,-98.5832,334,17.4605
162805,29.51116,-98.58346,335,17.4864
162805,29.5112,-98.5838,336,17.5198
162805,29.51123,-98.58415,337,17.5539
162805,29.51125,-98.58444,338,17.582
162805,29.51125,-98.58476,339,17.613
162805,29.51123,-98.58508,340,17.6441
162805,29.51121,-98.58543,341,17.6781
162805,29.51116,-98.58579,342,17.7136
162805,29.51113,-98.58599,343,17.7339
162805,29.51108,-98.58625,344,17.7593
162805,29.51102,-98.58647,345,17.7815
162805,29.51097,-98.58663,346,17.7986
162805,29.51084,-98.58703,347,17.8391
162805,29.5108,-98.58712,348,17.8489
162805,29.5106,-98.58759,349,17.9003
162805,29.51048,-98.58785,350,17.9285
162805,29.5102,-98.58833,351,17.9848
162805,29.50999,-98.58864,352,18.0226
162805,29.50993,-98.58873,353,18.0333
162805,29.50963,-98.58909,354,18.0814
162805,29.50914,-98.58966,355,18.1592
162805,29.50897,-98.58978,356,18.1811
162805,29.508649,-98.589358,357,18.2357
162805,29.508523,-98.589203,358,18.2562
162805,29.508333,-98.588945,359,18.2888
162805,29.508234,-98.589027,360,18.3024
162805,29.507837,-98.589398,361,18.3593
162805,29.50734,-98.589934,362,18.435
162805,29.507547,-98.590182,363,18.5439
162805,29.507944,-98.590718,364,18.7209
162805,29.508153,-98.590527,365,18.9279
162805,29.50842,-98.59027,366,19.1732
162805,29.50897,-98.58978,367,19.4962
162805,29.50907,-98.58958,368,19.8411
162805,29.5096,-98.58897,369,20.2695
162805,29.50983,-98.58868,370,20.7354
162805,29.50988,-98.58862,371,21.2098
162805,29.5101,-98.58828,372,21.725
162805,29.51029,-98.58798,373,22.276
162805,29.51036,-98.58785,374,22.8422
162805,29.51045,-98.58767,375,23.4282
162805,29.51062,-98.58729,376,24.0558
162805,29.51065,-98.58721,377,24.6919
162805,29.5108,-98.58681,378,25.3706
162805,29.51089,-98.58653,379,26.078
162805,29.51095,-98.58628,380,26.8102
162805,29.51097,-98.5862,381,27.5506
162805,29.51104,-98.58587,382,28.324
162805,29.51106,-98.58574,383,29.1106
162805,29.5111,-98.58543,384,29.9276
162805,29.51113,-98.58504,385,30.7827
162805,29.51114,-98.58477,386,31.6638
162805,29.51113,-98.58444,387,32.5769
162805,29.51111,-98.58397,388,33.5351
162805,29.51108,-98.58366,389,34.5235
162805,29.51104,-98.58342,390,35.5363
162805,29.51101,-98.58325,391,36.5656
162805,29.51097,-98.58307,392,37.6133
162805,29.51093,-98.58287,393,38.6804
162805,29.51075,-98.58217,394,39.8184
162805,29.5107,-98.58196,395,40.9773
162805,29.51063,-98.58162,396,42.1701
162805,29.51052,-98.58121,397,43.4047
162805,29.51039,-98.58069,398,44.6915
162805,29.51031,-98.58033,399,46.0142
162805,29.51029,-98.58022,400,47.3483
162805,29.51008,-98.57936,401,48.7685
162805,29.51001,-98.57909,402,50.2159
162805,29.5099,-98.57865,403,51.708
162805,29.50954,-98.57722,404,53.3447
162805,29.50949,-98.57703,405,55.0004
162805,29.5091,-98.57551,406,56.8093
162805,29.50903,-98.57514,407,58.655
162805,29.50901,-98.57493,408,60.5218
162805,29.50899,-98.57468,409,62.4127
162805,29.50901,-98.57443,410,64.3277
162805,29.50904,-98.57399,411,66.2858
162805,29.50905,-98.57389,412,68.253
162805,29.50909,-98.5736,413,70.2486
162805,29.50917,-98.57335,414,72.2704
162805,29.50924,-98.57312,415,74.3157
162805,29.5093,-98.57295,416,76.3793
162805,29.5094,-98.57272,417,78.4675
162805,29.50946,-98.5726,418,80.5688
162805,29.50953,-98.57246,419,82.6857
162805,29.5096,-98.57235,420,84.8162
162805,29.50967,-98.57225,421,86.9588
162805,29.50975,-98.57214,422,89.1156
162805,29.50981,-98.57206,423,91.2824
162805,29.50992,-98.57194,424,93.4662
162805,29.51007,-98.57178,425,95.6726
162805,29.51025,-98.5716,426,97.9059
162805,29.51037,-98.5715,427,100.155
162805,29.51053,-98.5714,428,102.4247
162805,29.51264,-98.56913,429,105.0156
162805,29.51274,-98.56898,430,107.6251
162805,29.51173,-98.568,431,110.3815
162805,29.51088,-98.56719,432,113.2608
162805,29.50978,-98.56623,433,116.2935
162805,29.50948,-98.56598,434,119.367
162805,29.50889,-98.56545,435,122.5237
162805,29.50759,-98.56432,436,125.8618
162805,29.50654,-98.56345,437,129.3432
162805,29.50653,-98.56344,438,132.826
162805,29.50641,-98.56334,439,136.3252
162805,29.50587,-98.56291,440,139.8976
162805,29.50457,-98.56181,441,143.6488
162805,29.50436,-98.56164,442,147.4294
162805,29.50305,-98.5605,443,151.392
162805,29.5011,-98.55887,444,155.6223
162805,29.50087,-98.55866,445,159.8854
162805,29.50037,-98.55824,446,164.2171
162805,29.49981,-98.55774,447,168.6272
162805,29.49924,-98.55727,448,173.1161
162805,29.49853,-98.55677,449,177.6966
162805,29.49824,-98.55659,450,182.3147
162805,29.49793,-98.55642,451,186.9703
162805,29.49729,-98.55609,452,191.7038
162805,29.49636,-98.55569,453,196.5475
162805,29.49616,-98.55562,454,201.4142
162805,29.49589,-98.5556,455,206.311
162805,29.49559,-98.55551,456,211.242
162805,29.49522,-98.55537,457,216.2163
162805,29.49499,-98.55527,458,221.2181
162805,29.4948,-98.55519,459,226.2424
162805,29.49453,-98.55504,460,231.3002
162805,29.49441,-98.55496,461,236.3728
162805,29.49428,-98.55486,462,241.4634
162805,29.4942,-98.55481,463,246.5634
162805,29.49411,-98.55476,464,251.6746
162805,29.49399,-98.55468,465,256.8019
162805,29.49393,-98.55464,466,261.936
162805,29.49382,-98.55457,467,267.0848
162805,29.49367,-98.55441,468,272.2562
162805,29.49321,-98.55413,469,277.4854
162805,29.49281,-98.55383,470,282.7681
162805,29.49248,-98.5536,471,288.093
162805,29.49206,-98.55326,472,293.4753
162805,29.49127,-98.55253,473,298.9699
162805,29.49056,-98.55188,474,304.5655
162805,29.49037,-98.55169,475,310.1888
162805,29.48968,-98.55102,476,315.9129
162805,29.48953,-98.55087,477,321.6589
162805,29.48921,-98.55057,478,327.4511
162805,29.48871,-98.55007,479,333.3163
162805,29.4866,-98.54807,480,339.4855
162805,29.48588,-98.54737,481,345.7597
162805,29.48515,-98.54664,482,352.1409
162805,29.48443,-98.54593,483,358.6278
162805,29.48146,-98.54296,484,365.5519
162805,29.47988,-98.54137,485,372.7099
162805,29.47938,-98.54085,486,379.9429
162805,29.47804,-98.53952,487,387.3723
162805,29.47601,-98.53754,488,395.0975
162805,29.4734,-98.53495,489,403.2055
162805,29.47318,-98.53474,490,411.3462
162805,29.47257,-98.53412,491,419.5768
162805,29.47201,-98.53357,492,427.889
162805,29.47194,-98.5335,493,436.2118
162805,29.47133,-98.53291,494,444.6233
162805,29.47078,-98.53236,495,453.1156
162805,29.4707,-98.53228,496,461.62
162805,29.47012,-98.53169,497,470.2101
162805,29.4695,-98.53108,498,478.8916
162805,29.46889,-98.53048,499,487.6617
162805,29.46825,-98.52985,500,496.5254
162805,29.46765,-98.52924,501,505.4784
162805,29.46734,-98.52892,502,514.4774
162805,29.46704,-98.52863,503,523.5205
162805,29.46645,-98.52803,504,532.6507
162805,29.46589,-98.52747,505,541.8638
162805,29.46537,-98.52689,506,551.1575
162805,29.46473,-98.52623,507,560.5468
162805,29.46456,-98.52606,508,569.9609
162805,29.46411,-98.52559,509,579.4422
162805,29.46369,-98.52516,510,588.9859
162805,29.46346,-98.52495,511,598.5622
162805,29.46246,-98.52395,512,608.2859
162805,29.46128,-98.52282,513,618.1801
162805,29.46106,-98.5226,514,628.1076
162805,29.46008,-98.52167,515,638.1757
162805,29.45932,-98.52092,516,648.3558
162805,29.45913,-98.52074,517,658.5629
162805,29.45892,-98.52054,518,668.7998
162805,29.45833,-98.51997,519,679.1225
162805,29.45821,-98.51985,520,689.463
162805,29.45757,-98.51924,521,699.8959
162805,29.45716,-98.51883,522,710.389
162805,29.45662,-98.51832,523,720.9602
162805,29.45617,-98.51789,524,731.596
162805,29.45611,-98.51783,525,742.2403
162805,29.45581,-98.51752,526,752.93
162805,29.45505,-98.51681,527,763.7284
162805,29.45473,-98.51655,528,774.5698
162805,29.45448,-98.5164,529,785.4429
162805,29.45424,-98.51625,530,796.3465
162805,29.45406,-98.51612,531,807.2739
162805,29.45388,-98.51602,532,818.2237
162805,29.45377,-98.51596,533,829.1869
162805,29.4536,-98.5159,534,840.1697
162805,29.45342,-98.51584,535,851.1734
162805,29.45324,-98.51582,536,862.1972
162805,29.45303,-98.51584,537,873.2441
162805,29.45245,-98.51588,538,884.3551
162805,29.45235,-98.51581,539,895.4792
162805,29.45218,-98.5157,540,906.6252
162805,29.45198,-98.51559,541,917.7954
162805,29.4516,-98.51561,542,929.0076
162805,29.45103,-98.51561,543,940.2828
162805,29.45057,-98.5156,544,951.609
162805,29.45006,-98.51556,545,962.9924
162805,29.44867,-98.51529,546,974.532
162805,29.4476,-98.51503,547,986.1932
162805,29.44715,-98.51495,548,997.905
162805,29.44676,-98.5149,549,1009.6601
162805,29.44632,-98.51489,550,1021.4642
162805,29.44632,-98.514889,551,1033.2683
162805,29.44592,-98.514889,552,1045.1164
162805,29.444579,-98.514979,553,1057.1128
162805,29.44458,-98.51498,554,1069.1092
162805,29.44436,-98.51498,555,1081.1306
162805,29.44413,-98.51495,556,1093.1772
162805,29.44384,-98.51491,557,1105.256
162805,29.44354,-98.51483,558,1117.3697
162805,29.443539,-98.51483,559,1129.4834
162805,29.443239,-98.514719,560,1141.6316
162805,29.44324,-98.51472,561,1153.7798
162805,29.44299,-98.51463,562,1165.9574
162805,29.44265,-98.51445,563,1178.1762
162805,29.44226,-98.51418,564,1190.4461
162805,29.44202,-98.51395,565,1202.75
162805,29.44183,-98.51378,566,1215.081
162805,29.441829,-98.513779,567,1227.412
162805,29.441649,-98.51357,568,1239.7712
162805,29.441359,-98.513149,569,1252.1824
162805,29.44136,-98.51315,570,1264.5936
162805,29.44116,-98.51282,571,1277.0437
162805,29.44106,-98.51256,572,1289.5215
162805,29.44092,-98.5122,573,1302.0374
162805,29.4408,-98.51183,574,1314.5916
162805,29.44073,-98.51156,575,1327.173
162805,29.44069,-98.51138,576,1339.7721
162805,29.44031,-98.50942,577,1352.5668
162805,29.43997,-98.50758,578,1365.5435
162805,29.439969,-98.50758,579,1378.5202
162805,29.43983,-98.50713,580,1391.5433
162805,29.43971,-98.50682,581,1404.5991
162805,29.43957,-98.50669,582,1417.6749
162805,29.43949,-98.50663,583,1430.7616
162805,29.43929,-98.5063,584,1443.8871
162805,29.43915,-98.50613,585,1457.0353
162805,29.43903,-98.506,586,1470.2019
162805,29.43891,-98.5059,587,1483.3849
162805,29.43867,-98.50576,588,1496.5983
162805,29.43856,-98.50567,589,1509.8261
162805,29.43822,-98.50546,590,1523.0974
162805,29.43765,-98.50513,591,1536.4393
162805,29.43712,-98.5049,592,1549.8423
162805,29.4366,-98.5047,593,1563.3064
162805,29.43614,-98.50451,594,1576.8249
162805,29.43585,-98.50437,595,1590.3779
162805,29.43548,-98.50417,596,1603.9765
162805,29.43514,-98.50393,597,1617.6196
162805,29.4349,-98.5037,598,1631.2975
162805,29.43456,-98.5034,599,1645.023
162805,29.43444,-98.50329,600,1658.7657
162805,29.4341,-98.50305,601,1672.552
162805,29.43307,-98.50229,602,1686.4742
162805,29.43245,-98.50182,603,1700.4793
162805,29.43204,-98.50156,604,1714.5368
162805,29.4317,-98.50134,605,1728.6368
162805,29.43152,-98.50125,606,1742.7588
162805,29.43136,-98.50119,607,1756.8997
162805,29.43113,-98.50112,608,1771.0666
162805,29.43096,-98.50109,609,1785.2527
162805,29.43026,-98.50103,610,1799.517
162805,29.42998,-98.501,611,1813.8124
162805,29.43,-98.50114,612,1828.121
162805,29.43,-98.50131,613,1842.4466
162805,29.42998,-98.50152,614,1856.7923
162805,29.42997,-98.50182,615,1871.167
162805,29.42998,-98.50216,616,1885.5747
162805,29.43005,-98.50289,617,1900.0539
162805,29.43009,-98.50337,618,1914.5802
162805,29.4301,-98.50349,619,1929.1177
162805,29.43012,-98.50374,620,1943.6803
162805,29.43012,-98.50408,621,1958.2759
162805,29.43012,-98.50449,622,1972.9105
162805,29.43009,-98.50462,623,1987.5587
162805,29.429,-98.50476,624,2002.3277
162805,29.42792,-98.50488,625,2017.2172
162805,29.42701,-98.50499,626,2032.2083
162805,29.42634,-98.50506,627,2047.2737
162805,29.42624,-98.50507,628,2062.3502
162805,29.42613,-98.50509,629,2077.4389
162805,29.426,-98.50386,630,2092.6485
162805,29.42563,-98.5039,631,2107.8993
162805,29.42545,-98.50392,632,2123.1702
162805,29.42515,-98.50395,633,2138.4742
162805,29.42504,-98.50396,634,2153.7903
162805,29.42503,-98.50383,635,2169.1184
162805,29.4249,-98.50274,636,2184.5536
162805,29.42488,-98.50262,637,2200.0009
162805,29.42484,-98.50243,638,2215.4667
162805,29.4248,-98.50219,639,2230.957
162805,29.42479,-98.50211,640,2246.4543
162805,29.42475,-98.50181,641,2261.9819
162805,29.42474,-98.50169,642,2277.5207
162805,29.42472,-98.50147,643,2293.0816
162805,29.42468,-98.50117,644,2308.6718
162805,29.42466,-98.501,645,2324.2781
162805,29.42461,-98.50064,646,2339.9199
162805,29.42457,-98.50031,647,2355.5939
162805,29.42441,-98.49932,648,2371.3656
162805,29.42435,-98.49893,649,2387.176
162805,29.42432,-98.49863,650,2403.0155
162805,29.4243,-98.4983,651,2418.8871
162805,29.42429,-98.49813,652,2434.7757
162805,29.42425,-98.49747,653,2450.7285
162805,29.42425,-98.49739,654,2466.6883
162805,29.42416,-98.49633,655,2482.7516
162805,29.42416,-98.49627,656,2498.8209
162805,29.42413,-98.49561,657,2514.9542
162805,29.42412,-98.49539,658,2531.1096
162805,29.4241,-98.49466,659,2547.335
162805,29.42409,-98.49442,660,2563.5845
162805,29.42409,-98.49422,661,2579.853
